"time","Graph 0",
2024-08-27T04:08:18.928Z,10011101.000000,
2024-08-27T04:08:18.961Z,10011101.000000,
2024-08-27T04:08:18.996Z,10011101.000000,
2024-08-27T04:08:19.031Z,10011101.000000,
2024-08-27T04:08:19.060Z,10011101.000000,
2024-08-27T04:08:19.089Z,10011101.000000,
2024-08-27T04:08:19.116Z,10011101.000000,
2024-08-27T04:08:19.144Z,10011101.000000,
2024-08-27T04:08:19.173Z,10011101.000000,
2024-08-27T04:08:19.203Z,10011101.000000,
2024-08-27T04:08:19.233Z,10011101.000000,
2024-08-27T04:08:19.267Z,10011101.000000,
2024-08-27T04:08:19.302Z,10011101.000000,
2024-08-27T04:08:19.336Z,10011101.000000,
2024-08-27T04:08:19.368Z,10011101.000000,
2024-08-27T04:08:19.403Z,10011101.000000,
2024-08-27T04:08:19.438Z,10011101.000000,
2024-08-27T04:08:19.473Z,10011101.000000,
2024-08-27T04:08:19.508Z,10011101.000000,
2024-08-27T04:08:19.547Z,10011101.000000,
2024-08-27T04:08:19.589Z,10011101.000000,
2024-08-27T04:08:19.632Z,10011101.000000,
2024-08-27T04:08:19.675Z,10011101.000000,
2024-08-27T04:08:19.715Z,10011101.000000,
2024-08-27T04:08:19.754Z,10011101.000000,
2024-08-27T04:08:19.794Z,10011101.000000,
2024-08-27T04:08:19.834Z,10011101.000000,
2024-08-27T04:08:19.877Z,10011101.000000,
2024-08-27T04:08:19.921Z,10011101.000000,
2024-08-27T04:08:19.966Z,10011101.000000,
2024-08-27T04:08:20.012Z,10011101.000000,
2024-08-27T04:08:20.060Z,10011101.000000,
2024-08-27T04:08:20.108Z,10011101.000000,
2024-08-27T04:08:20.155Z,10011101.000000,
2024-08-27T04:08:20.204Z,10011101.000000,
2024-08-27T04:08:20.255Z,10011101.000000,
2024-08-27T04:08:20.309Z,10011101.000000,
2024-08-27T04:08:20.361Z,10011101.000000,
2024-08-27T04:08:20.415Z,10011101.000000,
2024-08-27T04:08:20.475Z,10011101.000000,
2024-08-27T04:08:20.534Z,10011101.000000,
2024-08-27T04:08:20.600Z,10011101.000000,
2024-08-27T04:08:20.658Z,10011101.000000,
2024-08-27T04:08:20.715Z,10011101.000000,
2024-08-27T04:08:20.771Z,10011101.000000,
2024-08-27T04:08:20.828Z,10011101.000000,
2024-08-27T04:08:20.885Z,10011101.000000,
2024-08-27T04:08:20.944Z,10011101.000000,
2024-08-27T04:08:20.998Z,11111111.000000,
2024-08-27T04:08:21.056Z,10010101.000000,
2024-08-27T04:08:21.115Z,11111111.000000,
2024-08-27T04:08:21.183Z,10011001.000000,
2024-08-27T04:08:21.249Z,10110001.000000,
2024-08-27T04:08:21.315Z,11111111.000000,
2024-08-27T04:08:21.378Z,10011110.000000,
